@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
102,438,0,134,102,0.567797,1,0.765734,1,0.234266,0.867327,0.848665,1.178322,0.000093
103,438,0,133,103,0.563559,1,0.767075,1,0.232925,0.868186,0.847181,1.180385,0.000093
104,438,0,132,104,0.559322,1,0.768421,1,0.231579,0.869048,0.845697,1.182456,0.000094
105,438,0,131,105,0.555085,1,0.769772,1,0.230228,0.869911,0.844214,1.184534,0.000096
106,438,0,130,106,0.550847,1,0.771127,1,0.228873,0.870775,0.84273,1.18662,0.000097
107,438,0,129,107,0.54661,1,0.772487,1,0.227513,0.871642,0.841246,1.188713,0.000106
108,438,0,128,108,0.542373,1,0.773852,1,0.226148,0.87251,0.839763,1.190813,0.00012
109,438,0,127,109,0.538136,1,0.775221,1,0.224779,0.87338,0.838279,1.19292,0.000127
110,438,0,126,110,0.533898,1,0.776596,1,0.223404,0.874251,0.836795,1.195035,0.00013
111,438,0,125,111,0.529661,1,0.777975,1,0.222025,0.875125,0.835312,1.197158,0.00013
112,438,0,124,112,0.525424,1,0.779359,1,0.220641,0.876,0.833828,1.199288,0.00013
113,438,0,123,113,0.521186,1,0.780749,1,0.219251,0.876877,0.832344,1.201426,0.000131
114,438,0,122,114,0.516949,1,0.782143,1,0.217857,0.877756,0.830861,1.203571,0.000134
115,438,0,121,115,0.512712,1,0.783542,1,0.216458,0.878636,0.829377,1.205725,0.000134
116,438,0,120,116,0.508475,1,0.784946,1,0.215054,0.879518,0.827893,1.207885,0.000137
117,438,0,119,117,0.504237,1,0.786355,1,0.213645,0.880402,0.826409,1.210054,0.000139
118,438,0,118,118,0.5,1,0.78777,1,0.21223,0.881288,0.824926,1.21223,0.000139
119,438,0,117,119,0.495763,1,0.789189,1,0.210811,0.882175,0.823442,1.214414,0.000147
120,438,0,116,120,0.491525,1,0.790614,1,0.209386,0.883065,0.821958,1.216606,0.000165
